rank,character,world,level
936,xoKageyama,bera,210
937,FIuffyPantsu,bera,210
938,Flight876,scania,210
939,Miholie,scania,210
940,StanceOKOK,scania,210
941,6YearOIdKid,bera,210
942,AmlBlack,elysium,210
943,greennokchaS,bera,210
944,mihilemichae,elysium,210
945,mihilesunday,bera,210
946,Hyono,elysium,210
947,JulMile,bera,210
948,CrabbyMihile,bera,210
949,RudestDudest,scania,210
950,iSuqDiq,bera,210
951,MihileUkatsu,elysium,210
952,AshStance,bera,210
953,GrizzlyShine,aurora,210
954,Luffy116,bera,210
955,BeanQAQ,scania,210
956,Guerrero2012,bera,210
957,HailJagger,elysium,210
958,QcBlondy,aurora,210
959,stanceplsuwu,bera,210
960,Gayhyle,bera,210
961,Hisace,bera,210
962,Loyalwatch,scania,210
963,Impüre,aurora,210
964,SIuttox,bera,210
965,StevennMH,bera,210
966,Támáshi,aurora,210
967,Lothrene,aurora,210
968,Axilya,bera,210
969,EreveShield,bera,210
970,Dj4ng0Mihile,bera,210
971,Mihilesomez,bera,210
972,DancesWStanc,bera,210
